struct_name	enum_name	variant_name	field_name	field_type
Statement::ShowColumns	Statement	ShowColumns	table_name	ObjectName
Statement::ShowColumns	Statement	ShowColumns	filter	Option<ShowStatementFilter>
Statement::StartTransaction	Statement	StartTransaction	modes	Vec<TransactionMode>
Statement::SetTransaction	Statement	SetTransaction	modes	Vec<TransactionMode>
Statement::Commit	Statement	Commit	chain	bool
Statement::Rollback	Statement	Rollback	chain	bool
Statement::CreateSchema	Statement	CreateSchema	schema_name	ObjectName
ListAggOnOverflow::Truncate	ListAggOnOverflow	Truncate	filler	Option<Box<Expr>>
ListAggOnOverflow::Truncate	ListAggOnOverflow	Truncate	with_count	bool
TransactionMode::AccessMode	TransactionMode	AccessMode	unnamed	TransactionAccessMode
TransactionMode::IsolationLevel	TransactionMode	IsolationLevel	unnamed	TransactionIsolationLevel
ShowStatementFilter::Like	ShowStatementFilter	Like	unnamed	String
ShowStatementFilter::Where	ShowStatementFilter	Where	unnamed	Expr
SetVariableValue::Ident	SetVariableValue	Ident	unnamed	Ident
SetVariableValue::Literal	SetVariableValue	Literal	unnamed	Value
SetExpr::Select	SetExpr	Select	unnamed	Box<Select>
SetExpr::Query	SetExpr	Query	unnamed	Box<Query>
SetExpr::SetOperation	SetExpr	SetOperation	op	SetOperator
SetExpr::SetOperation	SetExpr	SetOperation	all	bool
SetExpr::SetOperation	SetExpr	SetOperation	left	Box<SetExpr>
SetExpr::SetOperation	SetExpr	SetOperation	right	Box<SetExpr>
SetExpr::Values	SetExpr	Values	unnamed	Values
SelectItem::UnnamedExpr	SelectItem	UnnamedExpr	unnamed	Expr
SelectItem::ExprWithAlias	SelectItem	ExprWithAlias	expr	Expr
SelectItem::ExprWithAlias	SelectItem	ExprWithAlias	alias	Ident
SelectItem::QualifiedWildcard	SelectItem	QualifiedWildcard	unnamed	ObjectName
TableFactor::Table	TableFactor	Table	name	ObjectName
TableFactor::Table	TableFactor	Table	alias	Option<TableAlias>
TableFactor::Table	TableFactor	Table	args	Vec<Expr>
TableFactor::Table	TableFactor	Table	with_hints	Vec<Expr>
TableFactor::Derived	TableFactor	Derived	lateral	bool
TableFactor::Derived	TableFactor	Derived	subquery	Box<Query>
TableFactor::Derived	TableFactor	Derived	alias	Option<TableAlias>
TableFactor::NestedJoin	TableFactor	NestedJoin	unnamed	Box<TableWithJoins>
JoinOperator::Inner	JoinOperator	Inner	unnamed	JoinConstraint
JoinOperator::LeftOuter	JoinOperator	LeftOuter	unnamed	JoinConstraint
JoinOperator::RightOuter	JoinOperator	RightOuter	unnamed	JoinConstraint
JoinOperator::FullOuter	JoinOperator	FullOuter	unnamed	JoinConstraint
JoinConstraint::On	JoinConstraint	On	unnamed	Expr
JoinConstraint::Using	JoinConstraint	Using	unnamed	Vec<Ident>
Value::Number	Value	Number	unnamed	String
Value::Number	Value	Number	unnamed	BigDecimal
Value::SingleQuotedString	Value	SingleQuotedString	unnamed	String
Value::NationalStringLiteral	Value	NationalStringLiteral	unnamed	String
Value::HexStringLiteral	Value	HexStringLiteral	unnamed	String
Value::Boolean	Value	Boolean	unnamed	bool
Value::Date	Value	Date	unnamed	String
Value::Time	Value	Time	unnamed	String
Value::Timestamp	Value	Timestamp	unnamed	String
Value::Interval	Value	Interval	value	String
Value::Interval	Value	Interval	leading_field	DateTimeField
Value::Interval	Value	Interval	leading_precision	Option<u64>
Value::Interval	Value	Interval	last_field	Option<DateTimeField>
Value::Interval	Value	Interval	fractional_seconds_precision	Option<u64>
